DATE,NB_MAINTENANCES,PB_NB_MAINTENANCES,VALUE,CENS
133635,0,0,24.40000057220459,0
154764,1,0,3.299999952316284,0
176796,1,0,24.350000381469727,0
196802,1,0,30.050000190734863,0
205120,1,0,29.449999809265137,0
224510,1,1,28.950000762939453,0
245389,2,0,30.15000057220459,0
