DATE,NB_MAINTENANCES,VALUE
148255.0,0,26.699999809265137
170618.0,1,27.5
190151.0,1,27.75
212455.0,2,27.15000057220459
220618.0,2,27.59999942779541
233179.0,2,28.100000381469727
